Audio,Length,EN %,SW %,Gender,Remarks (Subject Matter / Comments)
https://www.youtube.com/watch?v=ga9tK6b5tNE,1:35:28,100,0,M,Finance
https://www.youtube.com/watch?v=0UZFmqxo2AY,0:02:00,95,5,M,Politics
https://www.youtube.com/watch?v=RjFiBW6Z2h4,0:10:44,5,95,M,Finance
https://www.youtube.com/watch?v=WWOr32JBwiM,0:43:48,5,95,M,Politics
https://www.youtube.com/watch?v=d2YEqbTdSK8,0:25:18,10,90,M,Politics
https://www.youtube.com/watch?v=RYezTL3Qg4Q,0:26:31,10,90,M & F,Politics
https://www.youtube.com/watch?v=9J5rGY15ExQ,0:33:00,10,90,M,Politics
https://www.youtube.com/watch?v=tp5CSl9bHZQ,0:34:44,5,95,M,Lifestyle
https://www.youtube.com/watch?v=uwLhC0SJ6iE,0:37:47,5,95,M,Educational
https://www.youtube.com/watch?v=sm62d3GV1GE,0:21:46,5,95,M,Educational
https://www.youtube.com/watch?v=seUrxaa_aKU,0:31:04,10,90,M,Lifestyle
https://youtube.com/watch?v=jKo6OSBZNLo,0:41:06,5,95,M,Lifestyle
https://www.youtube.com/watch?v=5xRMRvQj0fg,0:35:31,5,95,M,Lifestyle
https://www.youtube.com/watch?v=56eDyvlmiRQ,0:38:12,10,90,M,Lifestyle
https://www.youtube.com/watch?v=yJS2U6pgSt8,0:27:08,5,95,M,Politics
https://www.youtube.com/watch?v=um3Oriab_Us,0:25:40,5,95,M,Politics
https://www.youtube.com/watch?v=dlLHUguhrVQ,0:10:08,0,100,F,Politics
https://www.youtube.com/watch?v=TPiphXyjoEA,0:54:59,0,100,M,Politics
https://www.youtube.com/watch?v=XPHNPTGOrUM,0:10:44,10,90,M,Lifestyle
https://www.youtube.com/watch?v=yYhPuKnREhk,0:05:27,90,10,F,Politics
https://www.youtube.com/watch?v=XMiwzpNpoNU,0:30:25,5,95,M,Politics
https://www.youtube.com/watch?v=byEnYEk90OU,0:33:42,0,100,M,Politics
https://www.youtube.com/watch?v=9arVvTmQiXI,0:33:50,0,100,M,Politics
https://www.youtube.com/watch?v=GclyWwuXeyk,0:27:54,5,95,M & F,Politics
https://www.youtube.com/watch?v=U4hsEsLeLZg,0:11:05,5,95,F,Politics
https://www.youtube.com/watch?v=jBLv89rY9mo,0:45:55,0,100,M,Lifestyle
https://www.youtube.com/watch?v=1cPx32FbhTs,0:20:58,5,95,M,Lifestyle
https://www.youtube.com/watch?v=GzEKUE0BN2A,0:14:09,15,85,M & F,Lifestyle
https://www.youtube.com/watch?v=_lGb70_dDOk,0:29:41,5,95,M,Politics
https://www.youtube.com/watch?v=otEFqKOQXW4,0:33:36,5,95,M,Politics
https://www.youtube.com/watch?v=9xeGnoccigU&rco=1,0:33:51,5,95,M,Politics
https://www.youtube.com/watch?v=faKclwrnOqs&rco=1,0:32:11,5,95,M,Lifestyle
https://www.youtube.com/watch?v=twU-bDWbDRU,0:38:11,5,95,M,Lifestyle
https://www.youtube.com/watch?v=W_x4aHGiSJQ,1:00:09,2,98,M,Lifestyle
https://www.youtube.com/watch?v=CNZL7l77BU4,0:30:21,2,98,M,Politics
